#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double
#default,_result,,,,,
,result,table,_time,X,Y,Z
,,0,2026-08-22T20:21:23.786661289Z,-0.033,0.004,0.989
,,0,2026-08-22T20:21:24.797856082Z,-0.034,0.004,0.987
,,0,2026-08-22T20:21:25.798238363Z,-0.032,0.005,0.989
,,0,2026-08-22T20:21:26.813239096Z,-0.033,0.004,0.985
,,0,2026-08-22T20:21:27.814077617Z,-0.034,0.003,0.989
,,0,2026-08-22T20:21:28.812747943Z,-0.033,0.004,0.989
,,0,2026-08-22T20:21:29.821784396Z,-0.033,0.005,0.989
,,0,2026-08-22T20:21:30.828875575Z,-0.033,0.005,0.986
,,0,2026-08-22T20:21:31.830868996Z,-0.032,0.005,0.984
,,0,2026-08-22T20:21:32.833019484Z,-0.033,0.005,0.986
,,0,2026-08-22T20:21:33.835615458Z,-0.032,0.004,0.986
,,0,2026-08-22T20:21:34.837813454Z,-0.033,0.003,0.986
,,0,2026-08-22T20:21:35.846116232Z,-0.034,0.004,0.988
,,0,2026-08-22T20:21:36.857445584Z,-0.034,0.004,0.987
,,0,2026-08-22T20:21:37.84889237Z,-0.032,0.004,0.988
,,0,2026-08-22T20:21:38.85144223Z,-0.033,0.003,0.989
,,0,2026-08-22T20:21:39.853638131Z,-0.033,0.005,0.988
,,0,2026-08-22T20:21:40.856899558Z,-0.032,0.002,0.988
,,0,2026-08-22T20:21:41.85941872Z,-0.033,0.004,0.989
,,0,2026-08-22T20:21:42.86524382Z,-0.033,0.004,0.989
,,0,2026-08-22T20:21:43.865911219Z,-0.031,0.005,0.988
,,0,2026-08-22T20:21:44.868447903Z,-0.033,0.004,0.988
,,0,2026-08-22T20:21:45.881128518Z,-0.034,0.004,0.988
,,0,2026-08-22T20:21:46.884390325Z,-0.033,0.004,0.987
,,0,2026-08-22T20:21:47.888175357Z,-0.034,0.005,0.986
,,0,2026-08-22T20:21:48.895780074Z,-0.034,0.004,0.987
,,0,2026-08-22T20:21:49.898387252Z,-0.034,0.003,0.987
,,0,2026-08-22T20:21:50.90354609Z,-0.033,0.005,0.989
,,0,2026-08-22T20:21:51.907198568Z,-0.033,0.005,0.989

