#group,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,double,double,double
#default,_result,,,,,
,result,table,_time,X,Y,Z
,,0,2026-08-22T20:31:28.641789032Z,-0.036,0.044,0.98
,,0,2026-08-22T20:31:29.644054068Z,-0.014,0.036,0.986
,,0,2026-08-22T20:31:30.646471401Z,-0.025,0.018,0.999
,,0,2026-08-22T20:31:31.649350305Z,-0.016,0.039,0.987
,,0,2026-08-22T20:31:32.656747261Z,-0.016,0.036,0.988
,,0,2026-08-22T20:31:33.661529473Z,-0.015,0.036,0.986
,,0,2026-08-22T20:31:34.667201618Z,-0.006,0.02,0.995
,,0,2026-08-22T20:31:35.671453496Z,-0.016,0.036,0.985
,,0,2026-08-22T20:31:36.676144185Z,-0.027,0.053,0.976
,,0,2026-08-22T20:31:37.681893304Z,-0.017,0.036,0.987
,,0,2026-08-22T20:31:38.685828664Z,-0.003,0.054,0.971
,,0,2026-08-22T20:31:39.691468239Z,0.007,0.038,0.986
,,0,2026-08-22T20:31:40.696161575Z,-0.016,0.049,0.985
,,0,2026-08-22T20:31:41.700687771Z,-0.031,0.031,0.991
,,0,2026-08-22T20:31:42.700117044Z,-0.014,0.036,0.986
,,0,2026-08-22T20:31:43.703079444Z,-0.038,0.032,0.992
,,0,2026-08-22T20:31:44.705326619Z,-0.018,0.036,0.988
,,0,2026-08-22T20:31:45.707700167Z,-0.041,0.039,0.985
,,0,2026-08-22T20:31:46.710217365Z,-0.038,0.026,0.995
,,0,2026-08-22T20:31:47.720261673Z,-0.015,0.057,0.967
,,0,2026-08-22T20:31:48.724777714Z,-0.028,0.015,1.004
,,0,2026-08-22T20:31:49.729199223Z,-0.012,0.034,0.996
,,0,2026-08-22T20:31:50.733931899Z,-0.037,0.028,0.999
,,0,2026-08-22T20:31:51.74092276Z,-0.018,0.033,0.986
,,0,2026-08-22T20:31:52.746266617Z,-0.014,0.038,0.985
,,0,2026-08-22T20:31:53.75109897Z,-0.028,0.048,0.985
,,0,2026-08-22T20:31:54.756291117Z,-0.011,0.037,0.986
,,0,2026-08-22T20:31:55.762977315Z,-0.012,0.037,0.985
,,0,2026-08-22T20:31:56.771302174Z,-0.013,0.036,0.986
,,0,2026-08-22T20:31:57.76923613Z,0.009,0.033,0.988
,,0,2026-08-22T20:31:58.770133427Z,-0.014,0.038,0.987
,,0,2026-08-22T20:31:59.773130912Z,-0.015,0.043,0.996
,,0,2026-08-22T20:32:00.775255454Z,-0.009,0.02,1.001
,,0,2026-08-22T20:32:01.777558775Z,-0.014,0.022,1
,,0,2026-08-22T20:32:02.785086413Z,-0.014,0.035,0.985
,,0,2026-08-22T20:32:03.792204137Z,-0.013,0.037,0.986
,,0,2026-08-22T20:32:04.797176571Z,-0.015,0.039,0.985
,,0,2026-08-22T20:32:05.800923901Z,-0.017,0.038,0.987
,,0,2026-08-22T20:32:06.805584589Z,-0.018,0.04,0.986
,,0,2026-08-22T20:32:07.817997661Z,-0.015,0.038,0.986
,,0,2026-08-22T20:32:08.818761871Z,-0.014,0.036,0.986
,,0,2026-08-22T20:32:09.825577107Z,-0.016,0.037,0.988
,,0,2026-08-22T20:32:10.823570172Z,-0.016,0.036,0.987
,,0,2026-08-22T20:32:11.826379655Z,-0.013,0.039,0.988
,,0,2026-08-22T20:32:12.829034385Z,0.002,0.049,0.972
,,0,2026-08-22T20:32:13.8370868Z,-0.025,0.025,0.999
,,0,2026-08-22T20:32:14.838679058Z,-0.013,-0.019,0.976
,,0,2026-08-22T20:32:15.846083863Z,-0.008,0.036,0.987
,,0,2026-08-22T20:32:16.851738889Z,-0,0.034,0.928
,,0,2026-08-22T20:32:17.85687054Z,-0.012,0.05,0.969
,,0,2026-08-22T20:32:18.861163432Z,-0.01,0.037,0.986
,,0,2026-08-22T20:32:19.866978319Z,-0.02,0.052,0.974
,,0,2026-08-22T20:32:20.871625064Z,0.007,0.038,0.981
,,0,2026-08-22T20:32:21.875584845Z,0.009,0.038,0.981
,,0,2026-08-22T20:32:22.88063872Z,-0.012,0.037,0.985
,,0,2026-08-22T20:32:23.886352163Z,-0.014,0.037,0.985
,,0,2026-08-22T20:32:24.890463823Z,-0.014,0.036,0.985
,,0,2026-08-22T20:32:25.895458193Z,-0.025,0.054,0.974
,,0,2026-08-22T20:32:26.900666378Z,-0.012,0.037,0.985
,,0,2026-08-22T20:32:27.906007343Z,-0.012,0.039,0.993
,,0,2026-08-22T20:32:28.910109649Z,-0.025,0.053,0.973
,,0,2026-08-22T20:32:29.914878576Z,-0.032,0.035,0.989
,,0,2026-08-22T20:32:30.919120054Z,-0.013,0.035,0.985
,,0,2026-08-22T20:32:31.924497737Z,-0.021,0.052,0.972
,,0,2026-08-22T20:32:32.929594578Z,-0.011,0.036,0.986
,,0,2026-08-22T20:32:33.934507241Z,-0.009,0.036,0.986
,,0,2026-08-22T20:32:34.939983545Z,-0.011,0.036,0.984
,,0,2026-08-22T20:32:35.94483231Z,-0.022,0.04,0.98
,,0,2026-08-22T20:32:36.948060051Z,0.004,0.03,0.983
,,0,2026-08-22T20:32:37.953043136Z,-0.012,0.052,0.971
,,0,2026-08-22T20:32:38.957338625Z,-0.01,0.018,0.994
,,0,2026-08-22T20:32:39.963798876Z,-0.012,0.034,0.98
,,0,2026-08-22T20:32:40.968449293Z,0,0.046,0.976
,,0,2026-08-22T20:32:41.974865275Z,-0.003,0.047,0.976
,,0,2026-08-22T20:32:42.979782936Z,-0.013,0.046,0.986
,,0,2026-08-22T20:32:43.98704367Z,0.007,0.034,0.987
,,0,2026-08-22T20:32:44.99520804Z,-0.013,0.035,0.985
,,0,2026-08-22T20:32:46.002222934Z,-0.009,0.016,0.997
,,0,2026-08-22T20:32:47.005910502Z,-0.011,0.037,0.984
,,0,2026-08-22T20:32:48.014879888Z,-0.027,0.054,0.977
,,0,2026-08-22T20:32:49.017046898Z,0,0.02,0.997
,,0,2026-08-22T20:32:50.026489894Z,-0.013,0.036,0.985
,,0,2026-08-22T20:32:51.029659486Z,-0.013,0.036,0.985
,,0,2026-08-22T20:32:52.035461258Z,-0.024,0.039,0.982
,,0,2026-08-22T20:32:53.04202128Z,-0.02,0.024,0.991
,,0,2026-08-22T20:32:54.048474696Z,-0.014,0.068,0.987
,,0,2026-08-22T20:32:55.04711831Z,-0.011,0.036,0.984
,,0,2026-08-22T20:32:56.050242274Z,-0.009,0.036,0.985
,,0,2026-08-22T20:32:57.052577034Z,-0.011,0.036,0.986
,,0,2026-08-22T20:32:58.054968074Z,-0.025,0.057,0.967
,,0,2026-08-22T20:32:59.057204287Z,-0.011,0.037,0.985
,,0,2026-08-22T20:33:00.066366826Z,0.005,0.04,0.983
,,0,2026-08-22T20:33:01.069711027Z,-0.001,0.049,0.976
,,0,2026-08-22T20:33:02.074973068Z,-0.025,0.029,0.99
,,0,2026-08-22T20:33:03.079222094Z,-0.012,0.038,0.986
,,0,2026-08-22T20:33:04.083919005Z,-0.012,0.037,0.985
,,0,2026-08-22T20:33:05.088869359Z,-0.011,0.017,0.995
,,0,2026-08-22T20:33:06.093726311Z,-0.012,0.036,0.986
,,0,2026-08-22T20:33:07.093019402Z,-0.013,0.036,0.984
,,0,2026-08-22T20:33:08.096203724Z,-0.012,0.037,0.983
,,0,2026-08-22T20:33:09.098443975Z,-0.009,0.038,0.984
,,0,2026-08-22T20:33:10.100764319Z,0.002,0.054,0.995
,,0,2026-08-22T20:33:11.103256684Z,-0.011,0.038,0.985
